NxN Size,C:f B:f D:t R:f Rand Cryst,C:f B:f D:t R:t Rand Cryst,C:f B:t D:f R:f Rand Cryst,C:f B:t D:f R:t Rand Cryst,C:f B:t D:t R:f Rand Cryst,C:f B:t D:t R:t Rand Cryst,C:t B:f D:t R:f Rand Cryst,C:t B:f D:t R:t Rand Cryst,C:f B:f D:t R:f Clus Cryst,C:f B:f D:t R:t Clus Cryst,C:f B:t D:f R:f Clus Cryst,C:f B:t D:f R:t Clus Cryst,C:f B:t D:t R:f Clus Cryst,C:f B:t D:t R:t Clus Cryst,C:t B:f D:t R:f Clus Cryst,C:t B:f D:t R:t Clus Cryst,C:f B:f D:t R:f Spac Cryst,C:f B:f D:t R:t Spac Cryst,C:f B:t D:f R:f Spac Cryst,C:f B:t D:f R:t Spac Cryst,C:f B:t D:t R:f Spac Cryst,C:f B:t D:t R:t Spac Cryst,C:t B:f D:t R:f Spac Cryst,C:t B:f D:t R:t Spac Cryst
15x15,0,0,0,0,0,0,11.2,7.2,0,0,0,0,0,0,15.4,16.6,0,0,0,0,0,0,11.6,11.4
16x16,0,0,0,0,0,0,11.6,7.6,0,0,0,0,0,0,13.4,18,0,0,0,0,0,0,14,10.6
17x17,0,0,0,0,0,0,13.8,6,0,0,0,0,0,0,14,14.8,0,0,0,0,0,0,11.6,12.8
18x18,0,0,0,0,0,0,13.8,6.4,0,0,0,0,0,0,15.2,12.2,0,0,0,0,0,0,13.2,12.2
19x19,0,0,0,0,0,0,10.4,5.8,0,0,0,0,0,0,16.4,19.8,0,0,0,0,0,0,10.8,14.2
20x20,0,0,0,0,0,0,13.2,5.2,0,0,0,0,0,0,14.2,14,0,0,0,0,0,0,11.2,10.4
21x21,0,0,0,0,0,0,9,9.6,0,0,0,0,0,0,14.2,15.2,0,0,0,0,0,0,11,9
22x22,0,0,0,0,0,0,11.4,8,0,0,0,0,0,0,17.4,10.6,0,0,0,0,0,0,13.2,11
23x23,0,0,0,0,0,0,9.2,13.8,0,0,0,0,0,0,11.6,16.8,0,0,0,0,0,0,12.6,8.8
24x24,0,0,0,0,0,0,7,12.4,0,0,0,0,0,0,15.4,13,0,0,0,0,0,0,8.8,11.2
25x25,0,0,0,0,0,0,12,9.8,0,0,0,0,0,0,15.8,10.6,0,0,0,0,0,0,9,9.8
