NxN Size,C:f B:f D:t R:f Rand Cryst,C:f B:f D:t R:t Rand Cryst,C:f B:t D:f R:f Rand Cryst,C:f B:t D:f R:t Rand Cryst,C:f B:t D:t R:f Rand Cryst,C:f B:t D:t R:t Rand Cryst,C:t B:f D:t R:f Rand Cryst,C:t B:f D:t R:t Rand Cryst,C:f B:f D:t R:f Clus Cryst,C:f B:f D:t R:t Clus Cryst,C:f B:t D:f R:f Clus Cryst,C:f B:t D:f R:t Clus Cryst,C:f B:t D:t R:f Clus Cryst,C:f B:t D:t R:t Clus Cryst,C:t B:f D:t R:f Clus Cryst,C:t B:f D:t R:t Clus Cryst,C:f B:f D:t R:f Spac Cryst,C:f B:f D:t R:t Spac Cryst,C:f B:t D:f R:f Spac Cryst,C:f B:t D:f R:t Spac Cryst,C:f B:t D:t R:f Spac Cryst,C:f B:t D:t R:t Spac Cryst,C:t B:f D:t R:f Spac Cryst,C:t B:f D:t R:t Spac Cryst
15x15,20,20,20,20,18.8,20,20,17.4,20,20,20,20,19.4,20,20,20,20,20,20,13.6,19.2,20,20,20
16x16,20,20,20,20,17,20,20,17,20,20,20,20,20,20,20,20,20,20,20,16.8,20,20,20,20
17x17,20,20,20,20,19.8,20,20,15,20,20,20,19.4,20,20,20,20,20,20,20,7,20,20,20,20
18x18,20,19.8,20,20,20,20,20,14.8,20,20,20,9,20,20,20,20,20,20,20,8.6,20,20,20,20
19x19,20,20,19.2,14.8,20,20,20,15,20,20,19.8,4.8,20,20,20,20,20,20,20,6.6,20,20,20,20
20x20,20,20,20,7.4,20,20,20,14.4,20,20,15.6,4.2,20,15,20,20,20,20,17.2,7.6,20,15,20,20
21x21,20,20,19,7.2,20,20,20,20,20,19.8,5.4,5.2,20,9.4,20,20,20,20,16,5.6,20,9,20,20
22x22,20,20,19.2,5.4,20,14.2,19.8,20,20,20,5,4.2,20,11,20,20,20,20,13.8,9.4,20,10.6,20,20
23x23,19.4,19.8,19.83333333,5,20,10.6,20,19.8,20,19.8,3.4,4,20,10.8,20,20,20,20,12,13.4,20,6.8,20,20
24x24,20,20,18.6,5,20,9.6,20,19.2,20,20,2.2,15.2,20,8.8,20,20,20,20,13.4,14,20,4.8,20,20
25x25,20,20,18.8,8.6,20,10.2,19.6,20,19.8,20,2.6,16.2,20,8.2,19.8,20,20,20,11,12.6,20,6.4,20,20
