NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,7.3753478,11.1132154,17.7475226,23.9276056
16x16,6.2963122,12.2790856,8.411412,37.304498
17x17,13.8730436,12.355946,11.7683628,39.385524
18x18,8.4798628,14.2069466,9.9389864,35.624377
19x19,18.5794916,18.673944,10.6374264,36.3663556
20x20,14.0332794,9.735789,16.9992502,44.536345
21x21,15.8653818,14.7662034,21.5664984,45.647781
22x22,11.6289218,13.7420344,17.0343306,49.3689866
23x23,15.1254376,21.8382054,21.6921744,46.9401114
24x24,22.1808116,24.63865,22.8062742,52.0202712
25x25,19.0739766,25.5218978,22.701375,49.7176416
