NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,6.9812644,11.3331828,25.8319124,25.7589858
16x16,12.2308504,11.2780288,30.1460772,26.5638002
17x17,15.6534874,10.4285164,15.1287644,23.8100936
18x18,18.8237188,14.778426,10.2428504,31.221746
19x19,11.7833086,17.3795884,11.2833056,43.4165984
20x20,17.5043272,17.7308998,14.1342916,29.0967876
21x21,16.0303986,23.9782488,16.5833358,41.269026
22x22,26.9193356,22.7441634,21.1457418,41.1216004
23x23,29.554238,31.72505,21.4818298,37.06386583
24x24,18.7490234,23.1745392,22.796324,43.4312194
25x25,30.5897342,23.9859454,24.2608924,43.6699106
