NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,21.1190506,9.275865,8.3192822,27.1802924
16x16,21.295676,12.3998404,9.577263,24.3431568
17x17,22.607336,12.6746292,9.2553614,29.1264866
18x18,20.3135616,19.051826,12.932494,34.0227116
19x19,21.4355642,16.6662906,14.2902924,38.1584232
20x20,13.9563116,22.47698,14.5089538,30.4822566
21x21,18.1352116,20.2917604,20.9359114,32.5891774
22x22,19.6203776,18.131401,20.1345154,37.4844404
23x23,26.5868306,26.7600614,17.0126628,40.4637962
24x24,36.4718798,25.5203692,23.967867,33.4035504
25x25,21.3585382,21.555759,21.1877852,37.1479812
