NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,4.9550252,6.7213558,13.4526412,23.440153
16x16,7.37994,8.5962024,10.6115148,26.1839156
17x17,5.9032464,9.4372476,13.673841,30.8746046
18x18,9.3294184,7.9135638,15.7862374,42.4496986
19x19,7.1781794,9.3841766,18.58429,41.2188044
20x20,9.281414,13.7808462,18.8119006,43.8967688
21x21,7.9957598,11.6304122,21.972946,45.6770782
22x22,10.303746,13.5519228,23.2366056,47.3081648
23x23,10.0804292,10.9414262,24.6162166,48.457122
24x24,9.6776734,13.3615896,24.3125718,46.2363034
25x25,10.1599498,15.0663674,26.7165738,48.0487208
