NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,5.610662,8.882088,8.6593034,36.1776254
16x16,7.0300412,8.1049904,9.6823236,35.8103098
17x17,7.5359586,8.1391862,13.7385116,32.99404
18x18,7.2847298,8.0787332,14.6713202,37.2803404
19x19,10.925134,11.773976,11.094235,30.7930998
20x20,8.6849222,11.2550566,21.8795264,31.5902832
21x21,10.762095,12.9031614,28.9707272,31.3836276
22x22,12.3260976,12.1402228,20.480727,38.648786
23x23,15.837969,13.471769,30.3202212,47.8728984
24x24,17.4718508,14.438216,26.6717472,40.819228
25x25,17.7575324,12.194405,28.1945762,45.8418846
