NxN Size,C:f B:f D:t R:f Rand Cryst,C:f B:f D:t R:t Rand Cryst,C:f B:t D:f R:f Rand Cryst,C:f B:t D:f R:t Rand Cryst,C:f B:t D:t R:f Rand Cryst,C:f B:t D:t R:t Rand Cryst,C:t B:f D:t R:f Rand Cryst,C:t B:f D:t R:t Rand Cryst,C:f B:f D:t R:f Clus Cryst,C:f B:f D:t R:t Clus Cryst,C:f B:t D:f R:f Clus Cryst,C:f B:t D:f R:t Clus Cryst,C:f B:t D:t R:f Clus Cryst,C:f B:t D:t R:t Clus Cryst,C:t B:f D:t R:f Clus Cryst,C:t B:f D:t R:t Clus Cryst,C:f B:f D:t R:f Spac Cryst,C:f B:f D:t R:t Spac Cryst,C:f B:t D:f R:f Spac Cryst,C:f B:t D:f R:t Spac Cryst,C:f B:t D:t R:f Spac Cryst,C:f B:t D:t R:t Spac Cryst,C:t B:f D:t R:f Spac Cryst,C:t B:f D:t R:t Spac Cryst
15x15,11.3331828,9.275865,25.7589858,27.1802924,25.8319124,8.3192822,6.9812644,21.1190506,11.1132154,7.1412342,23.9276056,25.038185,17.7475226,10.2709768,7.3753478,8.8740452,6.7213558,8.882088,23.440153,36.1776254,13.4526412,8.6593034,4.9550252,5.610662
16x16,11.2780288,12.3998404,26.5638002,24.3431568,30.1460772,9.577263,12.2308504,21.295676,12.2790856,9.7840732,37.304498,21.7559504,8.411412,10.6866634,6.2963122,9.3975004,8.5962024,8.1049904,26.1839156,35.8103098,10.6115148,9.6823236,7.37994,7.0300412
17x17,10.4285164,12.6746292,23.8100936,29.1264866,15.1287644,9.2553614,15.6534874,22.607336,12.355946,14.2399836,39.385524,29.1727756,11.7683628,12.3526574,13.8730436,8.7192362,9.4372476,8.1391862,30.8746046,32.99404,13.673841,13.7385116,5.9032464,7.5359586
18x18,14.778426,19.051826,31.221746,34.0227116,10.2428504,12.932494,18.8237188,20.3135616,14.2069466,11.2269976,35.624377,38.0949802,9.9389864,12.6542988,8.4798628,8.0656184,7.9135638,8.0787332,42.4496986,37.2803404,15.7862374,14.6713202,9.3294184,7.2847298
19x19,17.3795884,16.6662906,43.4165984,38.1584232,11.2833056,14.2902924,11.7833086,21.4355642,18.673944,13.7820488,36.3663556,41.3768442,10.6374264,12.828319,18.5794916,13.2344306,9.3841766,11.773976,41.2188044,30.7930998,18.58429,11.094235,7.1781794,10.925134
20x20,17.7308998,22.47698,29.0967876,30.4822566,14.1342916,14.5089538,17.5043272,13.9563116,9.735789,15.571185,44.536345,44.0786904,16.9992502,20.8957828,14.0332794,10.5619446,13.7808462,11.2550566,43.8967688,31.5902832,18.8119006,21.8795264,9.281414,8.6849222
21x21,23.9782488,20.2917604,41.269026,32.5891774,16.5833358,20.9359114,16.0303986,18.1352116,14.7662034,20.2965676,45.647781,39.3757532,21.5664984,29.524876,15.8653818,19.1313938,11.6304122,12.9031614,45.6770782,31.3836276,21.972946,28.9707272,7.9957598,10.762095
22x22,22.7441634,18.131401,41.1216004,37.4844404,21.1457418,20.1345154,26.9193356,19.6203776,13.7420344,18.2943644,49.3689866,41.4653768,17.0343306,27.8108214,11.6289218,15.9217674,13.5519228,12.1402228,47.3081648,38.648786,23.2366056,20.480727,10.303746,12.3260976
23x23,31.72505,26.7600614,37.06386583,40.4637962,21.4818298,17.0126628,29.554238,26.5868306,21.8382054,20.048161,46.9401114,42.433063,21.6921744,27.018423,15.1254376,21.2405746,10.9414262,13.471769,48.457122,47.8728984,24.6162166,30.3202212,10.0804292,15.837969
24x24,23.1745392,25.5203692,43.4312194,33.4035504,22.796324,23.967867,18.7490234,36.4718798,24.63865,16.858348,52.0202712,41.689901,22.8062742,30.6887158,22.1808116,15.3340362,13.3615896,14.438216,46.2363034,40.819228,24.3125718,26.6717472,9.6776734,17.4718508
25x25,23.9859454,21.555759,43.6699106,37.1479812,24.2608924,21.1877852,30.5897342,21.3585382,25.5218978,17.0158542,49.7176416,44.0043978,22.701375,28.2261386,19.0739766,16.040245,15.0663674,12.194405,48.0487208,45.8418846,26.7165738,28.1945762,10.1599498,17.7575324
