NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,14.5166674,19.190001,35.3133342,32.5666682
16x16,13.563334,21.2133346,17.2600006,46.2433358
17x17,21.6633344,21.1366678,21.376667,49.663336
18x18,17.8700014,23.3266678,20.2266678,46.7366692
19x19,28.5333352,29.876668,19.5133348,46.3066682
20x20,25.3000016,22.8733346,27.3900018,57.873334
21x21,25.4033346,25.0000022,31.3733344,60
22x22,23.480002,25.1066676,30.1566688,60
23x23,26.3100014,34.7966688,36.9366692,60
24x24,35.603335,38.1633348,35.6633352,60
25x25,31.4633342,40.796668,35.740002,60
