NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,19.653334,19.1900016,23.6166678,35.8266686
16x16,20.2400012,20.5833342,21.8466672,35.9566688
17x17,19.7200012,27.9766686,23.4500016,43.2366676
18x18,20.0766678,24.7000006,26.3333346,60
19x19,29.7266684,26.7033344,26.1233344,60
20x20,26.0533346,30.186668,49.1066676,60
21x21,33.5100016,34.8600012,60,60
22x22,37.243335,36.0066684,60,60
23x23,39.1433354,38.0033348,60,60
24x24,29.1533346,32.976668,60,55.020001
25x25,31.343335,37.9400016,60,59.3866672
