NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,15.390001,19.8566682,59.3100012,35.5200016
16x16,20.6266678,20.4500008,60,36.4100018
17x17,24.9033346,20.8633346,32.4200012,34.8866676
18x18,29.106669,25.5433348,20.6366668,42.8533358
19x19,22.5500006,28.5000018,21.6833342,54.8100002
20x20,29.646667,30.043335,25.9200018,41.1700024
21x21,28.7700018,37.293335,28.8033344,54.7800008
22x22,39.6000014,36.8933358,33.1233348,54.9333336
23x23,43.7500022,45.7200004,34.4966682,51.26111267
24x24,33.243335,37.7066686,36.5333348,58.1900006
25x25,45.146668,39.3633354,39.3466686,58.4866672
