NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,58.7500006,22.0266678,18.606668,38.2766686
16x16,59.3900006,24.803334,22.1300012,36.9600022
17x17,60,24.8966678,20.5766676,41.4000024
18x18,60,32.7666678,26.8133346,49.603336
19x19,60,33.0900018,30.9133346,58.593334
20x20,56.0400006,38.0366686,30.9100014,60
21x21,35.356668,38.1833354,36.0166682,60
22x22,35.2700018,37.5200016,57.1266672,60
23x23,46.2300016,45.6133352,60,60
24x24,54.643334,44.1833356,60,60
25x25,39.8700022,44.0233358,60,57.8166672
