NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,13.816668,16.9900002,37.3933344,34.5533354
16x16,17.5433352,20.2766684,21.9333344,38.6533352
17x17,16.8700004,20.8233336,26.5366678,44.7333358
18x18,21.8866678,20.7533342,29.9733352,58.1766698
19x19,20.3033348,23.2366674,32.8900018,57.8233364
20x20,24.0500018,29.7566686,36.510002,60
21x21,22.230001,26.6633342,39.9500018,60
22x22,26.1466676,30.4933346,42.896669,60
23x23,26.2433342,28.6266682,44.7833356,60
24x24,28.1933356,32.276668,45.7266692,60
25x25,28.5900016,33.3633348,49.2633358,60
