NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,14.1166672,21.8133346,22.9633346,54.2833342
16x16,18.4100006,21.0266678,24.883335,52.5466682
17x17,20.7866676,22.1100014,25.7333346,60
18x18,23.7833344,23.4200006,31.6133352,60
19x19,30.0200014,29.5966686,27.3600016,60
20x20,21.2766674,29.126669,47.7200006,60
21x21,31.6533352,29.0000014,60,60
22x22,30.6633348,27.5400016,60,60
23x23,39.8366688,36.3666682,60,60
24x24,37.3666686,36.8866688,60,60
25x25,41.5400018,31.2300018,60,60
