NxN Size,C:f B:f D:t R:f Rand Cryst,C:f B:f D:t R:t Rand Cryst,C:f B:t D:f R:f Rand Cryst,C:f B:t D:f R:t Rand Cryst,C:f B:t D:t R:f Rand Cryst,C:f B:t D:t R:t Rand Cryst,C:t B:f D:t R:f Rand Cryst,C:t B:f D:t R:t Rand Cryst,C:f B:f D:t R:f Clus Cryst,C:f B:f D:t R:t Clus Cryst,C:f B:t D:f R:f Clus Cryst,C:f B:t D:f R:t Clus Cryst,C:f B:t D:t R:f Clus Cryst,C:f B:t D:t R:t Clus Cryst,C:t B:f D:t R:f Clus Cryst,C:t B:f D:t R:t Clus Cryst,C:f B:f D:t R:f Spac Cryst,C:f B:f D:t R:t Spac Cryst,C:f B:t D:f R:f Spac Cryst,C:f B:t D:f R:t Spac Cryst,C:f B:t D:t R:f Spac Cryst,C:f B:t D:t R:t Spac Cryst,C:t B:f D:t R:f Spac Cryst,C:t B:f D:t R:t Spac Cryst
15x15,19.8566682,22.0266678,35.5200016,38.2766686,59.3100012,18.606668,15.390001,58.7500006,19.190001,19.1900016,32.5666682,35.8266686,35.3133342,23.6166678,14.5166674,19.653334,16.9900002,21.8133346,34.5533354,54.2833342,37.3933344,22.9633346,13.816668,14.1166672
16x16,20.4500008,24.803334,36.4100018,36.9600022,60,22.1300012,20.6266678,59.3900006,21.2133346,20.5833342,46.2433358,35.9566688,17.2600006,21.8466672,13.563334,20.2400012,20.2766684,21.0266678,38.6533352,52.5466682,21.9333344,24.883335,17.5433352,18.4100006
17x17,20.8633346,24.8966678,34.8866676,41.4000024,32.4200012,20.5766676,24.9033346,60,21.1366678,27.9766686,49.663336,43.2366676,21.376667,23.4500016,21.6633344,19.7200012,20.8233336,22.1100014,44.7333358,60,26.5366678,25.7333346,16.8700004,20.7866676
18x18,25.5433348,32.7666678,42.8533358,49.603336,20.6366668,26.8133346,29.106669,60,23.3266678,24.7000006,46.7366692,60,20.2266678,26.3333346,17.8700014,20.0766678,20.7533342,23.4200006,58.1766698,60,29.9733352,31.6133352,21.8866678,23.7833344
19x19,28.5000018,33.0900018,54.8100002,58.593334,21.6833342,30.9133346,22.5500006,60,29.876668,26.7033344,46.3066682,60,19.5133348,26.1233344,28.5333352,29.7266684,23.2366674,29.5966686,57.8233364,60,32.8900018,27.3600016,20.3033348,30.0200014
20x20,30.043335,38.0366686,41.1700024,60,25.9200018,30.9100014,29.646667,56.0400006,22.8733346,30.186668,57.873334,60,27.3900018,49.1066676,25.3000016,26.0533346,29.7566686,29.126669,60,60,36.510002,47.7200006,24.0500018,21.2766674
21x21,37.293335,38.1833354,54.7800008,60,28.8033344,36.0166682,28.7700018,35.356668,25.0000022,34.8600012,60,60,31.3733344,60,25.4033346,33.5100016,26.6633342,29.0000014,60,60,39.9500018,60,22.230001,31.6533352
22x22,36.8933358,37.5200016,54.9333336,60,33.1233348,57.1266672,39.6000014,35.2700018,25.1066676,36.0066684,60,60,30.1566688,60,23.480002,37.243335,30.4933346,27.5400016,60,60,42.896669,60,26.1466676,30.6633348
23x23,45.7200004,45.6133352,51.26111267,60,34.4966682,60,43.7500022,46.2300016,34.7966688,38.0033348,60,60,36.9366692,60,26.3100014,39.1433354,28.6266682,36.3666682,60,60,44.7833356,60,26.2433342,39.8366688
24x24,37.7066686,44.1833356,58.1900006,60,36.5333348,60,33.243335,54.643334,38.1633348,32.976668,60,55.020001,35.6633352,60,35.603335,29.1533346,32.276668,36.8866688,60,60,45.7266692,60,28.1933356,37.3666686
25x25,39.3633354,44.0233358,58.4866672,57.8166672,39.3466686,60,45.146668,39.8700022,40.796668,37.9400016,60,59.3866672,35.740002,60,31.4633342,31.343335,33.3633348,31.2300018,60,60,49.2633358,60,28.5900016,41.5400018
