NxN Size,C:f B:f D:t R:f Rand Cryst,C:f B:f D:t R:t Rand Cryst,C:f B:t D:f R:f Rand Cryst,C:f B:t D:f R:t Rand Cryst,C:f B:t D:t R:f Rand Cryst,C:f B:t D:t R:t Rand Cryst,C:t B:f D:t R:f Rand Cryst,C:t B:f D:t R:t Rand Cryst,C:f B:f D:t R:f Clus Cryst,C:f B:f D:t R:t Clus Cryst,C:f B:t D:f R:f Clus Cryst,C:f B:t D:f R:t Clus Cryst,C:f B:t D:t R:f Clus Cryst,C:f B:t D:t R:t Clus Cryst,C:t B:f D:t R:f Clus Cryst,C:t B:f D:t R:t Clus Cryst,C:f B:f D:t R:f Spac Cryst,C:f B:f D:t R:t Spac Cryst,C:f B:t D:f R:f Spac Cryst,C:f B:t D:f R:t Spac Cryst,C:f B:t D:t R:f Spac Cryst,C:f B:t D:t R:t Spac Cryst,C:t B:f D:t R:f Spac Cryst,C:t B:f D:t R:t Spac Cryst
15x15,0,0,0,0,0,0,2.481934729,1.469693846,0,0,0,0,0,0,2.059126028,2.8,0,0,0,0,0,0,1.496662955,2.059126028
16x16,0,0,0,0,0,0,3.773592453,0.8,0,0,0,0,0,0,2.727636339,2.75680975,0,0,0,0,0,0,2.449489743,4.963869458
17x17,0,0,0,0,0,0,2.993325909,1.788854382,0,0,0,0,0,0,4.242640687,4.874423043,0,0,0,0,0,0,2.244994432,1.166190379
18x18,0,0,0,0,0,0,5.192301994,1.356465997,0,0,0,0,0,0,3.969886648,2.712931993,0,0,0,0,0,0,1.6,2.13541565
19x19,0,0,0,0,0,0,3.498571137,1.469693846,0,0,0,0,0,0,4.079215611,6.112282716,0,0,0,0,0,0,1.469693846,2.925747768
20x20,0,0,0,0,0,0,8.133879763,1.469693846,0,0,0,0,0,0,4.489988864,2.607680962,0,0,0,0,0,0,1.166190379,3.929376541
21x21,0,0,0,0,0,0,3.898717738,0.8,0,0,0,0,0,0,1.6,3.310589071,0,0,0,0,0,0,1.414213562,2.19089023
22x22,0,0,0,0,0,0,2.154065923,0.632455532,0,0,0,0,0,0,2.576819745,4.715930449,0,0,0,0,0,0,6.64529909,3.521363372
23x23,0,0,0,0,0,0,2.785677655,2.785677655,0,0,0,0,0,0,3.555277767,3.655133376,0,0,0,0,0,0,3.382306905,2.785677655
24x24,0,0,0,0,0,0,1.788854382,4.8,0,0,0,0,0,0,2.416609195,2.683281573,0,0,0,0,0,0,2.315167381,3.487119155
25x25,0,0,0,0,0,0,3.16227766,1.166190379,0,0,0,0,0,0,1.833030278,4.882622246,0,0,0,0,0,0,1.549193338,6.013318551
