NxN Size,C:f B:f D:t R:f Rand Cryst,C:f B:f D:t R:t Rand Cryst,C:f B:t D:f R:f Rand Cryst,C:f B:t D:f R:t Rand Cryst,C:f B:t D:t R:f Rand Cryst,C:f B:t D:t R:t Rand Cryst,C:t B:f D:t R:f Rand Cryst,C:t B:f D:t R:t Rand Cryst,C:f B:f D:t R:f Clus Cryst,C:f B:f D:t R:t Clus Cryst,C:f B:t D:f R:f Clus Cryst,C:f B:t D:f R:t Clus Cryst,C:f B:t D:t R:f Clus Cryst,C:f B:t D:t R:t Clus Cryst,C:t B:f D:t R:f Clus Cryst,C:t B:f D:t R:t Clus Cryst,C:f B:f D:t R:f Spac Cryst,C:f B:f D:t R:t Spac Cryst,C:f B:t D:f R:f Spac Cryst,C:f B:t D:f R:t Spac Cryst,C:f B:t D:t R:f Spac Cryst,C:f B:t D:t R:t Spac Cryst,C:t B:f D:t R:f Spac Cryst,C:t B:f D:t R:t Spac Cryst
15x15,0,0,0,0,1.469693846,0,0,1.854723699,0,0,0,0,1.2,0,0,0,0,0,0,5.276362383,0.979795897,0,0,0
16x16,0,0,0,0,0.632455532,0,0,2.28035085,0,0,0,0,0,0,0,0,0,0,0,4.118252056,0,0,0,0
17x17,0,0,0,0,0.4,0,0,1.095445115,0,0,0,0.8,0,0,0,0,0,0,0,2.097617696,0,0,0,0
18x18,0,0.4,0,0,0,0,0,1.833030278,0,0,0,3.633180425,0,0,0,0,0,0,0,2.727636339,0,0,0,0
19x19,0,0,0.4,5.268775949,0,0,0,1.897366596,0,0,0.4,1.326649916,0,0,0,0,0,0,0,1.624807681,0,0,0,0
20x20,0,0,0,1.959591794,0,0,0,3.072458299,0,0,5.083306011,2.039607805,0,5.215361924,0,0,0,0,0.4,2.576819745,0,5.93295879,0,0
21x21,0,0,0.894427191,1.166190379,0,0,0,0,0,0.4,2.8,2.315167381,0,2.244994432,0,0,0,0,0,1.624807681,0,4.38178046,0,0
22x22,0,0,0.4,2.244994432,0,3.18747549,0.4,0,0,0,2,2.227105745,0,6.228964601,0,0,0,0,0.4,2.870540019,0,3.826225294,0,0
23x23,0.8,0.4,0.372677996,2,0,0.8,0,0.4,0,0.4,0.489897949,1.264911064,0,3.969886648,0,0,0,0,0,3.072458299,0,3.370459909,0,0
24x24,0,0,1.019803903,1.414213562,0,2.497999199,0,0.748331477,0,0,0.979795897,6.368673331,0,3.487119155,0,0,0,0,0.489897949,0.894427191,0,1.326649916,0,0
25x25,0,0,0.979795897,5.851495535,0,0.979795897,0.489897949,0,0.4,0,1.019803903,2.039607805,0,4.354308211,0.4,0,0,0,0,2.8,0,3.773592453,0,0
