NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,3.810984532,6.226139481,8.366708067,6.538930523
16x16,1.076673406,5.671827236,2.083009951,10.65089953
17x17,6.361362174,3.604674836,2.9051449,8.351510958
18x18,1.861003905,11.53837295,1.924640962,4.826219283
19x19,12.32469624,13.16519201,4.533813215,10.58514976
20x20,7.252384934,1.76841446,3.603682957,5.666445006
21x21,5.925462122,5.336575861,4.342090599,2.19475199
22x22,4.413138501,4.041669525,2.780321981,1.386220625
23x23,4.237335504,4.442038973,4.633752936,3.197381447
24x24,6.429617583,10.95976529,5.322599292,2.813193315
25x25,16.56091398,13.30878784,6.793662906,3.514341519
