NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,3.465591456,0.926565757,1.215612139,7.488885586
16x16,4.648429638,1.947628198,3.204551636,5.687869876
17x17,3.673076,7.47616374,3.061637325,11.53178378
18x18,3.963034571,4.32073794,3.37031842,5.526483694
19x19,5.145458352,5.608825583,2.000245053,5.21551343
20x20,3.659129589,1.791409544,6.175693187,6.650970397
21x21,6.069997099,15.14431103,2.26137605,4.313855501
22x22,8.639920223,6.051244639,3.834516239,7.653426135
23x23,4.272532981,14.59573227,8.541725253,5.807257599
24x24,6.886761852,5.25380739,7.679837972,8.909958929
25x25,5.771356112,6.876088914,10.1913275,3.959248566
