NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,0.96676938,3.326234492,4.309699087,4.818666267
16x16,3.517128395,5.499199023,2.199799527,5.698711961
17x17,4.338264798,3.519124637,7.183222116,5.830330152
18x18,15.5592754,7.039031466,3.028143337,2.269942425
19x19,4.004512335,5.714623495,2.96967621,10.42449858
20x20,11.03637117,11.37219669,5.439706525,7.025578552
21x21,5.572973755,6.63796434,4.861259193,9.81281876
22x22,12.87217827,13.82649166,4.171912309,10.5211575
23x23,9.171021286,12.95248278,5.107579417,7.854673103
24x24,6.181836122,6.749559183,7.497010718,5.24445496
25x25,14.3211659,5.80054338,7.211523546,2.59021439
