NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,4.336190732,2.120046874,2.864300229,6.581380242
16x16,4.557054579,2.881464796,2.826644471,6.482753346
17x17,2.757060222,7.221961159,1.745584912,4.779764057
18x18,1.452799578,15.50556521,1.86604006,6.388063053
19x19,5.241515322,6.845500906,2.713118968,7.40070072
20x20,3.015174837,6.64226182,4.207193381,6.173578554
21x21,6.50268691,7.431154514,2.642073975,5.663138583
22x22,10.91785495,5.501826674,3.256343861,7.678326954
23x23,9.752480466,8.709386224,5.389475719,8.707902712
24x24,9.22855877,6.725027606,3.004029743,6.231031824
25x25,4.611023408,3.847488462,1.215797018,6.635944417
