NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,0.332584511,0.527487491,6.728420813,0.180877402
16x16,2.338951854,0.867536474,2.473145876,0.448798161
17x17,1.456853534,1.013200564,0.104108473,0.6250558
18x18,4.589133668,1.111661206,2.011852559,0.174626102
19x19,1.045390734,1.750654178,0.062565392,0.163088029
20x20,2.089052305,8.343017996,1.505465257,0.522343887
21x21,1.718670634,2.246130658,0.100285633,0.200483748
22x22,1.401685608,3.841663946,0.875644571,0.373502789
23x23,1.478482522,1.674304826,0.133217802,0.16587324
24x24,0.593163254,1.578862249,0.349140125,0.850168033
25x25,2.622498353,3.091950454,0.22735454,0.256380015
