NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,0.82263558,2.048500412,1.502423039,8.546098558
16x16,2.375636048,1.712735704,2.494232069,5.081365927
17x17,1.386044021,1.000801408,1.963188624,4.314878563
18x18,1.947247082,2.34612081,3.481884738,3.597251326
19x19,1.576936947,2.387615355,4.726054216,2.502617322
20x20,1.750560292,1.296879531,9.520909576,2.273951636
21x21,2.752837061,3.991036445,6.172298784,2.817004634
22x22,3.378285138,4.470826958,6.550961979,6.459430047
23x23,3.872882473,2.53234225,4.506728668,2.56994379
24x24,6.699511984,4.923022285,8.424390541,6.355463143
25x25,3.87531436,3.036709761,5.636160999,2.681894365
