NxN Size,C:f B:f D:t R:f Rand Cryst,C:f B:f D:t R:t Rand Cryst,C:f B:t D:f R:f Rand Cryst,C:f B:t D:f R:t Rand Cryst,C:f B:t D:t R:f Rand Cryst,C:f B:t D:t R:t Rand Cryst,C:t B:f D:t R:f Rand Cryst,C:t B:f D:t R:t Rand Cryst,C:f B:f D:t R:f Clus Cryst,C:f B:f D:t R:t Clus Cryst,C:f B:t D:f R:f Clus Cryst,C:f B:t D:f R:t Clus Cryst,C:f B:t D:t R:f Clus Cryst,C:f B:t D:t R:t Clus Cryst,C:t B:f D:t R:f Clus Cryst,C:t B:f D:t R:t Clus Cryst,C:f B:f D:t R:f Spac Cryst,C:f B:f D:t R:t Spac Cryst,C:f B:t D:f R:f Spac Cryst,C:f B:t D:f R:t Spac Cryst,C:f B:t D:t R:f Spac Cryst,C:f B:t D:t R:t Spac Cryst,C:t B:f D:t R:f Spac Cryst,C:t B:f D:t R:t Spac Cryst
15x15,3.326234492,2.120046874,4.818666267,6.581380242,4.309699087,2.864300229,0.96676938,4.336190732,6.226139481,0.926565757,6.538930523,7.488885586,8.366708067,1.215612139,3.810984532,3.465591456,0.527487491,2.048500412,0.180877402,8.546098558,6.728420813,1.502423039,0.332584511,0.82263558
16x16,5.499199023,2.881464796,5.698711961,6.482753346,2.199799527,2.826644471,3.517128395,4.557054579,5.671827236,1.947628198,10.65089953,5.687869876,2.083009951,3.204551636,1.076673406,4.648429638,0.867536474,1.712735704,0.448798161,5.081365927,2.473145876,2.494232069,2.338951854,2.375636048
17x17,3.519124637,7.221961159,5.830330152,4.779764057,7.183222116,1.745584912,4.338264798,2.757060222,3.604674836,7.47616374,8.351510958,11.53178378,2.9051449,3.061637325,6.361362174,3.673076,1.013200564,1.000801408,0.6250558,4.314878563,0.104108473,1.963188624,1.456853534,1.386044021
18x18,7.039031466,15.50556521,2.269942425,6.388063053,3.028143337,1.86604006,15.5592754,1.452799578,11.53837295,4.32073794,4.826219283,5.526483694,1.924640962,3.37031842,1.861003905,3.963034571,1.111661206,2.34612081,0.174626102,3.597251326,2.011852559,3.481884738,4.589133668,1.947247082
19x19,5.714623495,6.845500906,10.42449858,7.40070072,2.96967621,2.713118968,4.004512335,5.241515322,13.16519201,5.608825583,10.58514976,5.21551343,4.533813215,2.000245053,12.32469624,5.145458352,1.750654178,2.387615355,0.163088029,2.502617322,0.062565392,4.726054216,1.045390734,1.576936947
20x20,11.37219669,6.64226182,7.025578552,6.173578554,5.439706525,4.207193381,11.03637117,3.015174837,1.76841446,1.791409544,5.666445006,6.650970397,3.603682957,6.175693187,7.252384934,3.659129589,8.343017996,1.296879531,0.522343887,2.273951636,1.505465257,9.520909576,2.089052305,1.750560292
21x21,6.63796434,7.431154514,9.81281876,5.663138583,4.861259193,2.642073975,5.572973755,6.50268691,5.336575861,15.14431103,2.19475199,4.313855501,4.342090599,2.26137605,5.925462122,6.069997099,2.246130658,3.991036445,0.200483748,2.817004634,0.100285633,6.172298784,1.718670634,2.752837061
22x22,13.82649166,5.501826674,10.5211575,7.678326954,4.171912309,3.256343861,12.87217827,10.91785495,4.041669525,6.051244639,1.386220625,7.653426135,2.780321981,3.834516239,4.413138501,8.639920223,3.841663946,4.470826958,0.373502789,6.459430047,0.875644571,6.550961979,1.401685608,3.378285138
23x23,12.95248278,8.709386224,7.854673103,8.707902712,5.107579417,5.389475719,9.171021286,9.752480466,4.442038973,14.59573227,3.197381447,5.807257599,4.633752936,8.541725253,4.237335504,4.272532981,1.674304826,2.53234225,0.16587324,2.56994379,0.133217802,4.506728668,1.478482522,3.872882473
24x24,6.749559183,6.725027606,5.24445496,6.231031824,7.497010718,3.004029743,6.181836122,9.22855877,10.95976529,5.25380739,2.813193315,8.909958929,5.322599292,7.679837972,6.429617583,6.886761852,1.578862249,4.923022285,0.850168033,6.355463143,0.349140125,8.424390541,0.593163254,6.699511984
25x25,5.80054338,3.847488462,2.59021439,6.635944417,7.211523546,1.215797018,14.3211659,4.611023408,13.30878784,6.876088914,3.514341519,3.959248566,6.793662906,10.1913275,16.56091398,5.771356112,3.091950454,3.036709761,0.256380015,2.681894365,0.22735454,5.636160999,2.622498353,3.87531436
