NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,3.890573252,6.391979154,19.96098025,7.356569431
16x16,1.747582725,5.073826084,3.031476307,11.16880414
17x17,6.753422431,4.857736124,3.514392468,7.391018813
18x18,2.788296732,12.31044174,3.782528191,7.530563411
19x19,11.78068608,12.30772016,5.450457651,11.36348298
20x20,7.56378832,2.211977881,3.658818768,4.253332
21x21,5.107265505,6.937018227,3.047414452,0
22x22,5.13275319,5.920037628,3.599947554,0
23x23,3.706070446,6.047463909,5.707133852,0
24x24,7.830633707,12.07257035,4.278426425,0
25x25,14.91860632,15.0752167,8.07153954,0
