NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,5.544781469,1.446781868,3.107429115,9.091898642
16x16,4.476675818,3.674128869,5.66434719,5.132571363
17x17,7.406727621,8.01372864,0.933035836,14.51549837
18x18,4.116182974,7.610293324,7.712127332,0
19x19,6.764487443,9.034240248,3.027955318,0
20x20,4.012001346,1.473672868,15.80572795,0
21x21,7.485308272,13.19463473,0,0
22x22,9.874645999,7.437126609,0,0
23x23,4.391375898,14.00933554,0,0
24x24,6.193629051,3.999745061,0,6.295582778
25x25,8.945046238,8.806151239,0,1.2266656
