NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,1.252757276,3.3306758,1.046134559,4.980265941
16x16,3.429798327,5.897523341,0,5.872862894
17x17,4.918167987,4.440299902,16.75208543,6.98147097
18x18,15.0492035,7.222385893,3.189259957,2.418985284
19x19,4.144716327,5.305437224,3.272494247,10.3799996
20x20,11.21010292,11.3649448,5.399294422,7.849058125
21x21,5.720599959,7.279993469,4.159359249,9.463951138
22x22,13.09659394,14.14641974,4.788489155,10.1333328
23x23,9.12462519,12.64992929,5.058693605,8.237743828
24x24,5.717270542,7.021977878,7.902749797,3.6199988
25x25,14.05414614,5.728887808,6.161037274,3.0266656
