NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,2.4999988,2.250866641,3.52825953,6.937744342
16x16,1.2199988,1.702364466,3.966575002,5.734163147
17x17,0,7.94725336,3.846335322,6.260493787
18x18,0,15.19257106,3.611085072,6.008322329
19x19,0,9.566461391,3.900903418,2.813332
20x20,7.9199988,8.36113706,6.551197229,0
21x21,8.338096235,8.462413903,2.482986846,0
22x22,11.51234353,5.656946621,5.7466656,0
23x23,10.5677518,8.495804973,0,0
24x24,8.025304,7.591062316,0,0
25x25,5.183568069,5.870165644,0,4.3666656
