NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,0.467617301,0.913638165,19.11151293,0.074833575
16x16,2.065177216,1.154103532,2.832098064,0.254602114
17x17,1.184877188,0.641577059,0.07986182,0.449691099
18x18,5.178775143,1.24585484,2.008276624,0.323109822
19x19,1.03141772,1.275775243,0.083400043,0.079302369
20x20,2.547765949,8.424967282,1.384140632,0
21x21,0.621056816,2.220845333,0.283039024,0
22x22,0.825118776,4.614056812,0.693413358,0
23x23,1.249827373,1.381729937,0.201659515,0
24x24,0.526686708,2.14971819,0.062003373,0
25x25,1.931367005,3.824460038,0.176823882,0
