NxN Size,Communication,Non-Communication,Brute Force Detecting,Brute Force Non-Detecting
15x15,2.731035662,3.708659591,4.171415533,7.053965535
16x16,3.622394254,4.061508055,5.989926636,6.293897075
17x17,3.92977832,4.054442821,3.393605797,0
18x18,6.844162182,5.543268698,9.851110691,0
19x19,4.998949295,6.149791293,6.990140793,0
20x20,3.807793326,3.649940888,15.09839656,0
21x21,8.564788827,8.180410487,0,0
22x22,8.957687122,6.634971437,0,0
23x23,7.910762682,9.801934034,0,0
24x24,14.42072267,11.67137755,0,0
25x25,9.30414868,6.904808671,0,0
